CD_MUN,NM_MUN,SIGLA_UF,ng_oficial,ng_medio,ng_max,_merge
1701051,Angico,TO,14,5.937659473333333,6.83252063,both
1701101,Aparecida do Rio Negro,TO,22,9.552349205714284,11.55476265,both
1701309,Aragominas,TO,18,9.433256122857143,10.211626,both
1701903,Araguacema,TO,24,11.932158983571428,13.53186881,both
1702000,Araguaçu,TO,18,9.175475918214286,10.53353944,both
1702109,Araguaína,TO,20,9.059468792,10.4084917,both
1702158,Araguanã,TO,18,9.506176493999998,9.78691431,both
1702208,Araguatins,TO,14,5.627708985,6.9708054,both
1702307,Arapoema,TO,22,11.762080285555555,12.9404268,both
1702406,Arraias,TO,14,6.662701076875,7.64138799,both
1702554,Augustinópolis,TO,14,5.58584535,5.7008949,both
1702703,Aurora do Tocantins,TO,18,8.920592575,9.10591107,both
1702901,Axixá do Tocantins,TO,12,6.2799448,6.2799448,both
1703008,Babaçulândia,TO,18,8.150901201,10.14910213,both
1703057,Bandeirantes do Tocantins,TO,22,9.85778173125,10.61324329,both
1703073,Barra do Ouro,TO,14,6.657984881428571,7.15189931,both
1703107,Barrolândia,TO,26,13.933955503333335,14.09627348,both
1703206,Bernardo Sayão,TO,22,11.53673775,12.43629289,both
1703305,Bom Jesus do Tocantins,TO,22,9.884142366666667,11.46773618,both
1703602,Brasilândia do Tocantins,TO,22,11.055979883333334,11.73923623,both
1703701,Brejinho de Nazaré,TO,24,11.40314695888889,13.88617074,both
1703800,Buriti do Tocantins,TO,14,7.5909746,7.95626045,both
1703826,Cachoeirinha,TO,10,3.4331372399999998,4.75571424,both
1703842,Campos Lindos,TO,20,8.9218599505,11.3719789,both
1703867,Cariri do Tocantins,TO,22,11.734260608333335,12.30335926,both
1703883,Carmolândia,TO,16,8.699083455,9.04254228,both
1703891,Carrasco Bonito,TO,14,7.0376946799999995,7.26708969,both
1703909,Caseara,TO,24,11.699869348888889,13.08096469,both
1704105,Centenário,TO,22,11.492289986363637,12.92775304,both
1704600,Chapada de Areia,TO,22,12.093068763333335,12.45121976,both
1705102,Chapada da Natividade,TO,22,10.735099122222222,12.11015486,both
1705508,Colinas do Tocantins,TO,22,10.782226721428572,11.99440121,both
1705557,Combinado,TO,14,7.71123447,7.71123447,both
1705607,Conceição do Tocantins,TO,22,9.019967832307692,10.4842526,both
1706001,Couto Magalhães,TO,24,12.589991003636364,13.87462354,both
1706100,Cristalândia,TO,22,11.134585345,11.58433475,both
1706258,Crixás do Tocantins,TO,28,11.291880758,13.33669295,both
1706506,Darcinópolis,TO,16,6.98814184888889,7.83459238,both
1707009,Dianópolis,TO,26,13.885396235,15.42532817,both
1707108,Divinópolis do Tocantins,TO,28,14.299999097142857,15.64247188,both
1707207,Dois Irmãos do Tocantins,TO,28,12.466951312857143,14.25370971,both
1707306,Dueré,TO,24,11.753365121666667,13.06462962,both
1707405,Esperantina,TO,14,6.592845790000001,7.0003775,both
1707553,Fátima,TO,24,11.71698675,11.71698675,both
1707652,Figueirópolis,TO,24,10.061947644545455,13.39161256,both
1707702,Filadélfia,TO,18,8.863419846666666,10.03334848,both
1708205,Formoso do Araguaia,TO,20,9.14774588918919,11.86372069,both
